Date,Sum of unique site visitors,Sum of visitors requiring consent,Sum of consented visitors,Sum of newly consented visitors,Calculated value of users who declined consent/took no action,Consent Rate
2023-08-04,304,304,93,21,211,30.59%
2023-08-05,258,258,45,14,213,17.44%
2023-08-06,277,277,54,13,223,19.49%
2023-08-07,383,383,107,29,276,27.94%
2023-08-08,422,422,143,36,279,33.89%
2023-08-09,408,408,110,27,298,26.96%
2023-08-10,438,438,121,34,317,27.63%
2023-08-11,343,343,87,17,256,25.36%
2023-08-12,290,290,57,13,233,19.66%
2023-08-13,316,316,61,18,255,19.3%
2023-08-14,384,384,110,27,274,28.65%
2023-08-15,342,342,83,27,259,24.27%
2023-08-16,398,398,106,22,292,26.63%
2023-08-17,407,407,101,27,306,24.82%
2023-08-18,434,434,125,46,309,28.8%
2023-08-19,301,301,68,18,233,22.59%
2023-08-20,348,348,80,21,268,22.99%
2023-08-21,439,439,109,22,330,24.83%
2023-08-22,470,470,124,32,346,26.38%
2023-08-23,554,554,164,39,390,29.6%
2023-08-24,929,929,159,39,770,17.12%
2023-08-25,2324,2324,131,37,2193,5.64%
2023-08-26,2569,2569,84,24,2485,3.27%
2023-08-27,2878,2878,100,39,2778,3.47%
2023-08-28,2714,2714,140,38,2574,5.16%
2023-08-29,2780,2780,192,55,2588,6.91%
2023-08-30,2700,2700,192,61,2508,7.11%
2023-08-31,2469,2469,249,76,2220,10.09%
2023-09-01,3271,3271,250,72,3021,7.64%
2023-09-02,3190,3190,156,47,3034,4.89%
2023-09-03,3253,3253,149,43,3104,4.58%
Total,36593,36593,3750,1034,32843,10.25%
